ROW,COLUMN,PURCHASER,WHOLESALE,RETAIL,TRANSPORT,IMPORT
001,001,15866307,0,0,4253,7
024,001,9514956,0,0,0,0
025,001,2967,0,0,168,0
027,001,6084,45,109,186,0
071,001,491,7,0,3,0
074,001,75931,7930,593,1763,0
078,001,8941,2912,1982,679,0
079,001,746,90,68,18,0
085,001,62089083,8947025,5647494,1788799,35811352
088,001,37150,5176,8069,401,0
093,001,8675528,374469,367343,154294,611650
094,001,108637,6509,2751,3315,0
097,001,7791,1467,1828,267,0
098,001,141952,4416,8912,2374,35822
102,001,8011,363,442,150,0
106,001,4070,153,213,172,942
108,001,2579924,152784,248213,66992,0
111,001,177408,7050,17461,1299,138026
113,001,1350348,93346,64283,18436,0
115,001,45371,5094,0,887,0
127,001,161149,0,0,0,0
134,001,1719,99,104,42,0
135,001,41321,0,0,0,0
137,001,8597,0,0,0,0
139,001,94142,0,0,0,0
145,001,0,-9608935,0,0,0
146,001,0,0,-6369865,0,0
149,001,0,0,0,-28742,0
150,001,6165,0,0,0,0
151,001,0,0,0,-1154134,0
154,001,0,0,0,-861622,0
159,001,35123,0,0,0,0
160,001,9089924,0,0,0,0
164,001,33473,0,0,0,0
177,001,33740,0,0,0,0
180,001,1254,0,0,0,0
190,001,110208303,0,0,0,36597799
201,001,58540146,0,0,0,0
202,001,188068821,0,0,0,0
203,001,9273784,0,0,0,0
204,001,1152,0,0,0,0
209,001,255883903,0,0,0,0
210,001,366092206,0,0,0,0
002,002,4053360,85938,5857,90808,191428
024,002,1469906,0,0,0,0
025,002,313,0,0,12,0
074,002,346451,63141,3613,14311,0
078,002,956,79,135,25,0
079,002,2531,427,320,60,0
085,002,6962262,1344092,1104224,795747,3244629
093,002,586414,53020,74756,16298,41344
094,002,109708,1134,1557,956,0
097,002,414,57,79,12,0
098,002,89715,3160,5798,1697,22640
108,002,147325,19478,24220,7043,0
111,002,5179,186,445,50,4110
113,002,407306,41811,18467,3846,0
115,002,16459,1885,0,366,0
127,002,38520,0,0,0,0
135,002,1981,0,0,0,0
139,002,9201,0,0,0,0
145,002,0,-1614408,0,0,0
146,002,0,0,-1239471,0,0
149,002,0,0,0,-12051,0
150,002,572,0,0,0,0
151,002,0,0,0,-853677,0
154,002,0,0,0,-65503,0
159,002,5773,0,0,0,0
160,002,1178961,0,0,0,0
163,002,604,0,0,0,0
171,002,1308,0,0,0,0
177,002,12311,0,0,0,0
180,002,15412,0,0,0,0
190,002,15462942,0,0,0,3504151
201,002,9669207,0,0,0,0
202,002,12260531,0,0,0,0
203,002,1061665,0,0,0,0
204,002,612,0,0,0,0
209,002,22992015,0,0,0,0
210,002,38454957,0,0,0,0
003,003,66586,83,0,148,0
024,003,121482,0,0,0,0
074,003,1681,34,0,9,0
079,003,202,16,33,9,0
085,003,4902,863,594,727,0
093,003,2306,140,148,39,163
094,003,190,9,4,3,0
098,003,121,4,2,0,31
108,003,8066,181,340,64,0
111,003,5579,98,593,31,4196
113,003,4340,276,0,58,0
115,003,104,12,0,0,0
127,003,47,0,0,0,0
139,003,411,0,0,0,0
145,003,0,-1716,0,0,0
146,003,0,0,-1714,0,0
151,003,0,0,0,-1001,0
154,003,0,0,0,-87,0
160,003,14117,0,0,0,0
180,003,78,0,0,0,0
190,003,230212,0,0,0,4390
201,003,147974,0,0,0,0
202,003,216551,0,0,0,0
203,003,3718,0,0,0,0
204,003,505,0,0,0,0
209,003,368748,0,0,0,0
210,003,598960,0,0,0,0
004,004,5985338,67775,0,9133,0
024,004,1293540,0,0,0,0
071,004,165,0,0,0,0
072,004,385,0,27,0,0
074,004,735,44,0,0,0
079,004,600,53,44,30,0
085,004,4474585,673930,324618,420173,2225205
093,004,812880,100565,108448,37868,57310
094,004,32592,746,764,882,0
097,004,771,73,166,29,0
098,004,16753,486,649,347,4228
108,004,635495,20603,40864,7729,0
111,004,12009,588,1399,68,9574
113,004,45446,3213,1841,957,0
115,004,7843,858,0,152,0
127,004,1529,0,0,0,0
135,004,9747,0,0,0,0
139,004,1130,0,0,0,0
145,004,0,-868934,0,0,0
146,004,0,0,-478820,0,0
149,004,0,0,0,-2021,0
150,004,9098,0,0,0,0
151,004,0,0,0,-284011,0
154,004,0,0,0,-191336,0
159,004,5947,0,0,0,0
160,004,1754823,0,0,0,0
180,004,127,0,0,0,0
190,004,15101538,0,0,0,2296317
201,004,10282622,0,0,0,0
202,004,15604857,0,0,0,0
203,004,711160,0,0,0,0
204,004,116,0,0,0,0
209,004,26598755,0,0,0,0
210,004,41700293,0,0,0,0
001,005,585,0,0,0,0
005,005,2816986,145460,0,3307,187223
017,005,971290,2790,0,8007,0
024,005,531478,0,0,0,0
049,005,156,2,0,2,0
074,005,98879,1117,88,250,0
079,005,8396,1137,1231,279,0
082,005,390,12,8,5,0
085,005,1206212,87409,66030,71305,19424
093,005,115670,8944,8766,5336,8155
094,005,58536,1823,1781,784,0
098,005,65007,1758,2021,357,16405
102,005,780,24,38,21,0
108,005,314181,23999,53554,10848,0
111,005,8208,164,684,22,5759
113,005,4982,590,0,68,0
127,005,66207,0,0,0,0
134,005,58,0,0,0,0
135,005,4186,0,0,0,0
145,005,0,-275229,0,0,0
146,005,0,0,-134201,0,0
149,005,0,0,0,-308,0
150,005,1521,0,0,0,0
151,005,0,0,0,-92418,0
154,005,0,0,0,-7865,0
159,005,1482,0,0,0,0
160,005,87027,0,0,0,0
180,005,1956,0,0,0,0
190,005,6364173,0,0,0,236966
201,005,1606586,0,0,0,0
202,005,3699495,0,0,0,0
203,005,81886,0,0,0,0
204,005,123,0,0,0,0
209,005,5388090,0,0,0,0
210,005,11752263,0,0,0,0
004,006,3886,15,0,0,0
006,006,1316208,32060,35162,4858,818286
024,006,591311,0,0,0,0
027,006,173,0,0,0,0
074,006,23890,2406,165,525,0
079,006,9939,1216,764,102,0
085,006,548829,109270,93226,55540,0
093,006,289347,17480,22857,4204,20400
094,006,34547,465,447,163,0
097,006,120,9,12,4,0
098,006,16218,476,601,276,4093
102,006,1474,177,112,55,0
108,006,121837,10712,15164,3878,0
111,006,1241,27,127,4,266
113,006,56175,7038,2353,941,0
115,006,1209,137,0,58,0
127,006,3433,0,0,0,0
135,006,1633,0,0,0,0
137,006,95,0,0,0,0
139,006,1844,0,0,0,0
145,006,0,-181488,0,0,0
146,006,0,0,-170990,0,0
149,006,0,0,0,-1446,0
150,006,2823,0,0,0,0
151,006,0,0,0,-44955,0
154,006,0,0,0,-24207,0
159,006,443,0,0,0,0
160,006,254647,0,0,0,0
163,006,83,0,0,0,0
177,006,7219,0,0,0,0
180,006,2536,0,0,0,0
190,006,3291160,0,0,0,843045
201,006,951999,0,0,0,0
202,006,2728287,0,0,0,0
203,006,33290,0,0,0,0
204,006,92,0,0,0,0
209,006,3713668,0,0,0,0
210,006,7004828,0,0,0,0
001,007,768395,0,0,2777,0
006,007,850279,22683,46609,3097,0
007,007,46467,5056,0,0,0
010,007,2286,0,0,0,0
017,007,20704677,1344815,2730410,375586,1192097
024,007,3030790,0,0,0,0
027,007,51860,8084,9381,3081,0
049,007,13132,230,333,286,0
068,007,69,0,0,0,0
071,007,143,0,0,0,0
072,007,17,0,0,0,0
074,007,87101,12694,933,3926,0
078,007,3982,337,643,200,0
079,007,629624,43467,57806,13513,103
082,007,211906,3163,1836,2970,0
084,007,536571,43905,14371,26723,257558
085,007,21090740,3466316,3570353,1014027,10537818
088,007,5120,869,1211,73,0
093,007,4454815,270924,273452,102630,314077
094,007,690311,17970,20370,5758,0
097,007,88458,6382,12493,1993,0
098,007,2413939,59630,118362,43282,1009158
102,007,51691,2073,1685,1588,0
108,007,1806783,81580,173949,30054,402825
109,007,20570,556,0,0,0
111,007,16696,471,1412,49,7579
113,007,631108,48793,27513,3514,0
115,007,23288,2849,0,505,0
127,007,1049077,0,0,0,0
134,007,74869,5064,4399,2406,0
135,007,265483,0,0,0,0
136,007,56029,471,1654,87,0
137,007,73139,0,0,0,0
139,007,42854,0,0,0,0
145,007,0,-5448382,0,0,0
146,007,0,0,-7069175,0,0
148,007,260397,0,0,0,0
149,007,0,0,0,-1887,0
150,007,966174,0,0,0,0
151,007,0,0,0,-1448173,0
154,007,0,0,0,-178307,0
156,007,0,0,0,-9758,0
159,007,1073236,0,0,0,0
160,007,2671582,0,0,0,0
162,007,85539,0,0,0,0
163,007,496370,0,0,0,0
164,007,903044,0,0,0,0
166,007,686,0,0,0,0
177,007,81342,0,0,0,0
180,007,1687,0,0,0,0
190,007,66332326,0,0,0,13721215
201,007,36543749,0,0,0,0
202,007,78046505,0,0,0,0
203,007,4030065,0,0,0,0
204,007,766,0,0,0,0
209,007,118621085,0,0,0,0
210,007,184953411,0,0,0,0
001,008,277261,0,0,3246,0
010,008,23647,79,87,14,0
017,008,7375200,500686,1091256,14980,37886
024,008,3235138,0,0,0,0
027,008,91431,3003,10331,793,0
038,008,5036,378,268,3,0
049,008,29573,208,818,644,0
074,008,203394,7592,755,1118,0
078,008,8997,651,1360,452,0
079,008,1227801,189922,111024,23205,0
082,008,184578,7044,4971,2729,0
084,008,1873596,168891,73962,33369,899340
085,008,39072513,9709973,5728053,1705935,14848287
088,008,49303,7510,10755,509,0
093,008,5773207,318321,328285,167144,407028
094,008,285392,3571,3495,1281,0
097,008,293545,11063,18960,8289,0
098,008,2849798,123382,184844,50027,1219147
102,008,24889,1229,1120,417,0
103,008,96153,6497,4531,1172,0
106,008,6748,249,202,286,1562
108,008,3703031,187104,252219,23546,539925
111,008,121353,2137,3304,1072,96011
113,008,1546157,153489,43520,5232,0
115,008,87839,10704,0,1249,0
116,008,24741,1720,0,212,0
121,008,18296,1468,1036,53,0
127,008,1070343,0,0,0,0
134,008,67130,3081,4013,2231,0
135,008,1126896,0,0,0,0
137,008,129554,0,0,0,0
139,008,36777,0,0,0,0
145,008,0,-11419952,0,0,0
146,008,0,0,-7879169,0,0
147,008,1563490,0,0,0,0
148,008,711027,0,0,0,0
149,008,0,0,0,-5667,0
150,008,937012,0,0,0,0
151,008,0,0,0,-1353423,0
152,008,153185,0,0,0,0
154,008,0,0,0,-676075,0
156,008,397044,0,0,-14043,0
159,008,311714,0,0,0,0
160,008,8453239,0,0,0,0
162,008,85828,0,0,0,0
163,008,6107,0,0,0,0
164,008,506613,0,0,0,0
171,008,17099,0,0,0,0
